Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
NT Tilak Varma (MI),2022-2024,38,38,9,1156,84*,39.86,790,146.32,0,6,1,90,58
OA Shah (KKR/Kochi/RR),2010-2013,23,22,7,506,76,33.73,389,130.07,0,4,0,34,23
PD Collingwood (DC),2010-2010,8,7,2,203,75*,40.60,156,130.12,0,3,0,9,13
PD Salt (DC/KKR),2023-2024,21,21,2,653,89*,34.36,372,175.53,0,6,3,74,34
PN Mankad (LSG/PBKS),2022-2023,6,6,3,97,64*,32.33,73,132.87,0,1,1,13,2
Q de Kock (DC/LSG/MI/RCB/SRH),2013-2024,107,107,6,3157,140*,31.25,2352,134.22,2,23,4,316,123
R Dravid (RCB/RR),2008-2013,89,82,5,2174,75*,28.23,1882,115.51,0,11,3,268,28
Ramandeep Singh (KKR/MI),2022-2024,20,13,7,170,35,28.33,102,166.66,0,0,0,8,13
RD Gaikwad (CSK),2020-2024,66,65,8,2380,108*,41.75,1739,136.86,2,18,6,217,91
RG Sharma (DCH/MI),2008-2024,257,252,29,6628,109*,29.72,5054,131.14,2,43,17,599,280
RK Singh (KKR),2018-2024,46,40,11,893,67*,30.79,623,143.33,0,4,0,67,46
RM Patidar (RCB),2021-2024,27,24,1,799,112*,34.73,503,158.84,1,7,1,51,54
RR Pant (DC),2016-2024,111,110,17,3284,128*,35.31,2205,148.93,1,18,4,296,154
RS Bopara (KXIP/SRH),2009-2015,24,22,4,531,84,29.50,453,117.21,0,3,2,39,16
S Badrinath (CSK),2008-2013,95,67,20,1441,71*,30.65,1212,118.89,0,11,6,154,28
S Dhawan (DC/DCH/MI/PBKS/SRH),2008-2024,222,221,29,6769,106*,35.25,5324,127.14,2,51,11,768,152
S Dube (CSK/RCB/RR),2019-2024,65,61,11,1502,95*,30.04,1024,146.67,0,9,3,86,101
SA Yadav (KKR/MI),2012-2024,150,135,23,3594,103*,32.08,2473,145.32,2,24,10,385,130
SB Jakati (CSK/GL/RCB),2009-2017,59,8,7,28,13,28.00,29,96.55,0,0,0,3,0
SE Marsh (KXIP),2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
Shashank Singh (PBKS/SRH),2022-2024,24,19,7,423,68*,35.25,262,161.45,0,2,2,33,25
Shubman Gill (GT/KKR),2018-2024,103,100,15,3216,129,37.83,2370,135.69,4,20,4,310,95
SK Raina (CSK/GL),2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203
SO Hetmyer (DC/RCB/RR),2019-2024,72,66,26,1243,75,31.07,812,153.07,0,4,2,76,82
SPD Smith (DC/PWI/RPS/RR),2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60
SR Tendulkar (MI),2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29
SR Watson (CSK/RCB/RR),2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190
SS Iyer (DC/KKR),2015-2024,116,115,18,3127,96,32.23,2453,127.47,0,21,6,271,113
SS Tiwary (DC/MI/RCB/RPS),2008-2021,93,74,22,1494,61,28.73,1244,120.09,0,8,1,111,50
SV Samson (DC/RR),2013-2024,168,163,19,4419,119,30.68,3180,138.96,3,25,11,352,206
T Stubbs (DC/MI),2022-2024,18,17,6,405,71*,36.81,233,173.81,0,3,2,26,26
TH David (MI/RCB),2021-2024,38,35,12,659,46,28.65,387,170.28,0,0,3,38,46
TM Head (RCB/SRH),2016-2024,25,25,4,772,102,36.76,444,173.87,1,5,4,76,40
V Kohli (RCB),2008-2024,252,244,37,8004,113*,38.66,6065,131.97,8,55,10,705,272
Vivrant Sharma (SRH),2023-2023,3,1,0,69,69,69.00,47,146.80,0,1,0,9,2
VR Iyer (KKR),2021-2024,51,49,7,1326,104,31.57,967,137.12,1,11,2,121,61
WG Jacks (RCB),2024-2024,8,8,1,230,100*,32.85,131,175.57,1,1,0,16,18
YBK Jaiswal (RR),2020-2024,53,52,2,1607,124,32.14,1067,150.60,2,9,4,198,64
YK Pathan (KKR/RR/SRH),2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158
