Player,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,10
SK Warne (RR),2008-2011,55,199.0,1,1194,1447,57,4/21,25.38,7.27,20.9,1,0,0
AR Patel (DC/KXIP),2014-2024,150,516.3,2,3099,3758,123,4/21,30.55,7.27,25.1,1,0,0
SM Harwood (RR),2009-2009,3,10.0,0,60,73,3,2/25,24.33,7.30,20.0,0,0,0
JJ Bumrah (MI),2013-2024,133,508.5,8,3053,3715,165,5/10,22.51,7.30,18.5,2,2,0
DP Nannes (CSK/DC/RCB),2009-2013,29,107.3,1,645,785,28,3/27,28.03,7.30,23.0,0,0,0
RV Patel (DC),2021-2023,9,3.0,0,18,22,0,-,0.00,7.33,-,0,0,0
Ankit Sharma (DCH/RPS/RR/SRH),2012-2018,22,61.1,0,367,450,12,2/20,37.50,7.35,30.5,0,0,0
JM Kemp (CSK),2010-2010,5,7.2,0,44,54,3,3/12,18.00,7.36,14.6,0,0,0
PP Ojha (DCH/MI),2008-2015,92,316.3,1,1899,2332,89,3/11,26.20,7.36,21.3,0,0,0
KH Pandya (LSG/MI),2016-2024,127,353.4,1,2122,2606,76,3/11,34.28,7.36,27.9,0,0,0
A Mishra (DC/DCH/LSG/SRH),2008-2024,162,561.5,6,3371,4145,174,5/17,23.82,7.37,19.3,4,1,0
JP Duminy (DC/DCH/MI),2009-2018,83,113.0,0,678,834,23,4/17,36.26,7.38,29.4,1,0,0
SK Raina (CSK/GL),2008-2021,205,151.2,0,908,1118,25,2/0,44.72,7.38,36.3,0,0,0
YK Pathan (KKR/RR/SRH),2008-2019,174,191.1,1,1147,1415,42,3/20,33.69,7.40,27.3,0,0,0
R Bhatia (DC/KKR/RPS/RR),2008-2017,95,272.4,1,1636,2020,71,4/15,28.45,7.40,23.0,1,0,0
KP Pietersen (DC/RCB/RPS),2009-2016,36,29.0,0,174,215,7,2/31,30.71,7.41,24.8,0,0,0
S Badree (CSK/RCB/RR),2013-2017,12,43.0,1,258,319,11,4/9,29.00,7.41,23.4,1,0,0
RR Powar (Kochi/KXIP),2008-2012,27,71.0,0,426,527,13,2/11,40.53,7.42,32.7,0,0,0
MF Maharoof (DC),2008-2010,20,70.0,0,420,520,27,3/34,19.25,7.42,15.5,0,0,0
JC Archer (MI/RR),2018-2023,40,157.3,2,945,1171,48,3/15,24.39,7.43,19.6,0,0,0
Shakib Al Hasan (KKR/SRH),2011-2021,71,247.2,1,1484,1839,63,3/17,29.19,7.43,23.5,0,0,0
Yuvraj Singh (DC/KXIP/MI/PWI/RCB/SRH),2008-2019,132,144.5,0,869,1077,36,4/29,29.91,7.43,24.1,2,0,0
Mohammad Nabi (MI/SRH),2017-2024,24,69.3,0,417,517,15,4/11,34.46,7.43,27.8,1,0,0
Gurkeerat Singh (KXIP/RCB),2012-2020,41,13.0,0,78,97,5,2/15,19.40,7.46,15.6,0,0,0
GB Hogg (KKR/RR),2012-2016,21,76.2,1,458,570,23,4/29,24.78,7.46,19.9,1,0,0
Shahid Afridi (DCH),2008-2008,10,30.0,0,180,225,9,3/28,25.00,7.50,20.0,0,0,0
C Munro (DC/KKR),2016-2019,13,2.0,0,12,15,0,-,0.00,7.50,-,0,0,0
M Shahrukh Khan (GT/PBKS),2021-2024,40,2.0,0,12,15,0,-,0.00,7.50,-,0,0,0
B Lee (KKR/KXIP),2008-2013,38,145.5,3,875,1095,25,3/15,43.80,7.50,35.0,0,0,0
MM Patel (GL/MI/RR),2008-2017,63,225.5,5,1355,1698,74,5/21,22.94,7.51,18.3,2,1,0
CRD Fernando (MI),2008-2010,10,39.0,0,234,294,17,4/18,17.29,7.53,13.7,1,0,0
Washington Sundar (RCB/RPS/SRH),2017-2024,60,175.4,1,1054,1325,37,3/16,35.81,7.54,28.4,0,0,0
RJ Harris (DCH/KXIP),2009-2013,37,138.4,3,832,1047,45,4/34,23.26,7.55,18.4,1,0,0
